"No","Module","RPT_FileName","RPT_Folder","ObjectType","LayoutName","DocCode","TypeCode","Author","Bytes"
"1","C","Tax Report v26.rpt","_ExportedFromSAP","","Tax Report v26","A0010001","A001","manager","425472"
"2","C","Value Added Tax Return under the Revenue Code (P.P.30) v28.rpt","_ExportedFromSAP","","Value Added Tax Return under the Revenue Code (P.P.30) v28","A0020001","A002","manager","28318720"
"3","C","Withholding Tax certificate (03) v28.rpt","_ExportedFromSAP","","Withholding Tax certificate (03) v28","A0040001","A004","manager","6693376"
"4","C","TEST.rpt","_ExportedFromSAP","","TEST","A0050002","A005","SLD01","4072448"
"5","C","WHT (53) v28_New.rpt","_ExportedFromSAP","","WHT (53) v28_New","A0050005","A005","manager","4049920"
"6","C","Withholding Tax certificate (53) v28.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28","A0050003","A005","manager","6689280"
"7","C","Withholding Tax certificate (53) v28_New.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28_New","A0050001","A005","manager","4050432"
"8","C","Withholding Tax certificate (53) v28_New2.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28_New2","A0050004","A005","manager","6668288"
"9","C","Withholding Income Tax Return (P.N.D.3)v28.rpt","_ExportedFromSAP","","Withholding Income Tax Return (P.N.D.3)v28","A0060001","A006","manager","15073280"
"10","C","Withholding Tax certificate (53) v28_A0060002.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28","A0060002","A006","manager","6667264"
"11","C","Attachment of P.N.D.3 v28.rpt","_ExportedFromSAP","","Attachment of P.N.D.3 v28","A0070001","A007","manager","5822464"
"12","C","Withholding Tax certificate (53) v28 8.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28 8","A0080001","A008","manager","15831552"
"13","C","Attachment of P.N.D.53 v28.rpt","_ExportedFromSAP","","Attachment of P.N.D.53 v28","A0090001","A009","manager","13074432"
"14","C","Value Added Tax Return under the Revenue Code (P.P.36).rpt","_ExportedFromSAP","","Value Added Tax Return under the Revenue Code (P.P.36)","A0100001","A010","manager","22198784"
"15","C","Withholding Tax certificate (54).rpt","_ExportedFromSAP","","Withholding Tax certificate (54)","A0110001","A011","manager","10213888"
"16","C","Good Issue.rpt","_ExportedFromSAP","60","Good Issue","IGE10002","IGE1","manager","72704"
"17","C","AR INVOICE Enconfund.rpt","_ExportedFromSAP","","AR INVOICE Enconfund","INV10008","INV1","SLD01","1590784"
"18","C","AR Inconfund Enconfund.rpt","_ExportedFromSAP","","AR Inconfund Enconfund","INV10004","INV1","Project","1595392"
"19","C","ใบแนบ AR.rpt","_ExportedFromSAP","","ใบแนบ AR","INV10006","INV1","SLD05","133120"
"20","C","AR Inconfund Enconfund_INV20008.rpt","_ExportedFromSAP","13","AR Inconfund Enconfund","INV20008","INV2","Project","1591296"
"21","C","AR Invoice Enconfund (Draft).rpt","_ExportedFromSAP","13","AR Invoice Enconfund (Draft)","INV20010","INV2","Project","1570304"
"22","C","ใบแนบ AR_INV20012.rpt","_ExportedFromSAP","13","ใบแนบ AR","INV20012","INV2","Project","252928"
"23","C","ใบแนบ AR (Draft).rpt","_ExportedFromSAP","13","ใบแนบ AR (Draft)","INV20006","INV2","Project","92160"
"24","C","Reconsin.rpt","_ExportedFromSAP","","Reconsin","ITR20002","ITR2","SLD09","72192"
"25","C","Report1.rpt","_ExportedFromSAP","","Report1","ITR20003","ITR2","SLD01","1596416"
"26","C","JE ENCONFUND (พลังงานจังหวัด).rpt","_ExportedFromSAP","","JE ENCONFUND (พลังงานจังหวัด)","JDT10002","JDT1","SLD01","80896"
"27","C","JE EnconFund.rpt","_ExportedFromSAP","","JE EnconFund","JDT10003","JDT1","SLD01","81408"
"28","C","JV EnconFund.rpt","_ExportedFromSAP","","JV EnconFund","JDT10004","JDT1","SLD01","60928"
"29","C","JE ENCONFUND (พลังงานจังหวัด)_JDT20005.rpt","_ExportedFromSAP","30","JE ENCONFUND (พลังงานจังหวัด)","JDT20005","JDT2","manager","83456"
"30","C","JE ENCONFUND (พลังงานจังหวัด).01.rpt","_ExportedFromSAP","30","JE ENCONFUND (พลังงานจังหวัด).01","JDT20003","JDT2","Project","79360"
"31","C","JE EnconFund_JDT20004.rpt","_ExportedFromSAP","30","JE EnconFund","JDT20004","JDT2","Project","82432"
"32","C","JE EnconFund.01.rpt","_ExportedFromSAP","30","JE EnconFund.01","JDT20002","JDT2","Project","78336"
"33","C","Report1_MTH10002.rpt","_ExportedFromSAP","","Report1","MTH10002","MTH1","SLD01","1596416"
"34","C","AP Invoice Enconfund.rpt","_ExportedFromSAP","","AP Invoice Enconfund","PCH10004","PCH1","manager","1598976"
"35","C","AP Invoice Enconfund_PCH20004.rpt","_ExportedFromSAP","18","AP Invoice Enconfund","PCH20004","PCH2","manager","1598976"
"36","C","Good Rec.rpt","_ExportedFromSAP","20","Good Rec","PDN20002","PDN2","SLD05","72192"
"37","C","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (บริหาร).rpt","_ExportedFromSAP","","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (บริหาร)","PWZ60004","PWZ6","manager","85504"
"38","C","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (โครงการ).rpt","_ExportedFromSAP","","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (โครงการ)","PWZ60002","PWZ6","manager","79872"
"39","C","Barcode Fixed Asset.rpt","_ExportedFromSAP","","Barcode Fixed Asset","RCRI0047","RCRI","manager","59904"
"40","C","ตารางสรุปรายการสินทรัพย์.rpt","_ExportedFromSAP","","ตารางสรุปรายการสินทรัพย์","RCRI0018","RCRI","manager","86016"
"41","C","ทะเบียนคุมการเบิกจ่ายเงินโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมการเบิกจ่ายเงินโครงการ","RCRI0016","RCRI","manager","192000"
"42","C","ทะเบียนคุมการใช้จ่ายเงิน (สพจ.).rpt","_ExportedFromSAP","","ทะเบียนคุมการใช้จ่ายเงิน (สพจ.)","RCRI0025","RCRI","Project","124928"
"43","C","ทะเบียนคุมค่าจ้างที่ปรึกษา.rpt","_ExportedFromSAP","","ทะเบียนคุมค่าจ้างที่ปรึกษา","RCRI0044","RCRI","manager","139264"
"44","C","ทะเบียนคุมค่าจ้างเหมาบริการผู้เชี่ยวชาญ.rpt","_ExportedFromSAP","","ทะเบียนคุมค่าจ้างเหมาบริการผู้เชี่ยวชาญ","RCRI0043","RCRI","manager","147968"
"45","C","ทะเบียนคุมค่าใช้จ่ายแผนงานโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมค่าใช้จ่ายแผนงานโครงการ","RCRI0014","RCRI","manager","319488"
"46","C","ทะเบียนคุมจ้างเหมาบริการ.rpt","_ExportedFromSAP","","ทะเบียนคุมจ้างเหมาบริการ","RCRI0017","RCRI","manager","148992"
"47","C","ทะเบียนคุมภาระผูกพัน.rpt","_ExportedFromSAP","","ทะเบียนคุมภาระผูกพัน","RCRI0031","RCRI","manager","124416"
"48","C","ทะเบียนคุมรับคืนเงินโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมรับคืนเงินโครงการ","RCRI0036","RCRI","Project","103936"
"49","C","ทะเบียนคุมรายได้ค้างรับ.rpt","_ExportedFromSAP","","ทะเบียนคุมรายได้ค้างรับ","RCRI0035","RCRI","Project","306688"
