"No","Module","RPT_FileName","RPT_Folder","ObjectType","LayoutName","DocCode","TypeCode","Author","Bytes"
"1","C","Tax Report v26.rpt","_ExportedFromSAP","","Tax Report v26","A0010001","A001","manager","425472"
"2","C","Value Added Tax Return under the Revenue Code (P.P.30) v28.rpt","_ExportedFromSAP","","Value Added Tax Return under the Revenue Code (P.P.30) v28","A0020001","A002","manager","28318720"
"3","C","Withholding Tax certificate (03) v28.rpt","_ExportedFromSAP","","Withholding Tax certificate (03) v28","A0040001","A004","manager","12524032"
"4","C","TEST.rpt","_ExportedFromSAP","","TEST","A0050002","A005","SLD01","4072448"
"5","C","Withholding Tax certificate (53) v28.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28","A0050001","A005","SLD01","4074496"
"6","C","Withholding Income Tax Return (P.N.D.3)v28.rpt","_ExportedFromSAP","","Withholding Income Tax Return (P.N.D.3)v28","A0060001","A006","manager","15073280"
"7","C","Attachment of P.N.D.3 v28.rpt","_ExportedFromSAP","","Attachment of P.N.D.3 v28","A0070001","A007","manager","5822464"
"8","C","Withholding Tax certificate (53) v28_A0080001.rpt","_ExportedFromSAP","","Withholding Tax certificate (53) v28","A0080001","A008","manager","15830016"
"9","C","Attachment of P.N.D.53 v28.rpt","_ExportedFromSAP","","Attachment of P.N.D.53 v28","A0090001","A009","manager","13074432"
"10","C","Value Added Tax Return under the Revenue Code (P.P.36).rpt","_ExportedFromSAP","","Value Added Tax Return under the Revenue Code (P.P.36)","A0100001","A010","manager","22198784"
"11","C","Withholding Tax certificate (54).rpt","_ExportedFromSAP","","Withholding Tax certificate (54)","A0110001","A011","manager","10213888"
"12","C","Good Issue.rpt","_ExportedFromSAP","60","Good Issue","IGE10002","IGE1","manager","72704"
"13","C","AR INVOICE Enconfund.rpt","_ExportedFromSAP","","AR INVOICE Enconfund","INV10008","INV1","SLD01","1590784"
"14","C","ใบแนบ AR.rpt","_ExportedFromSAP","","ใบแนบ AR","INV10006","INV1","SLD05","133120"
"15","C","AR Inconfund Enconfund.rpt","_ExportedFromSAP","13","AR Inconfund Enconfund","INV20008","INV2","Project","1590272"
"16","C","AR Invoice Enconfund (Draft).rpt","_ExportedFromSAP","13","AR Invoice Enconfund (Draft)","INV20010","INV2","Project","1570304"
"17","C","ใบแนบ AR_INV20012.rpt","_ExportedFromSAP","13","ใบแนบ AR","INV20012","INV2","Project","252928"
"18","C","ใบแนบ AR (Draft).rpt","_ExportedFromSAP","13","ใบแนบ AR (Draft)","INV20006","INV2","Project","92160"
"19","C","Reconsin.rpt","_ExportedFromSAP","","Reconsin","ITR20002","ITR2","SLD09","72192"
"20","C","Report1.rpt","_ExportedFromSAP","","Report1","ITR20003","ITR2","SLD01","1596416"
"21","C","JE ENCONFUND (พลังงานจังหวัด).rpt","_ExportedFromSAP","","JE ENCONFUND (พลังงานจังหวัด)","JDT10002","JDT1","SLD01","80896"
"22","C","JE EnconFund.rpt","_ExportedFromSAP","","JE EnconFund","JDT10003","JDT1","SLD01","81408"
"23","C","JV EnconFund.rpt","_ExportedFromSAP","","JV EnconFund","JDT10004","JDT1","SLD01","60928"
"24","C","JE ENCONFUND (พลังงานจังหวัด)_JDT20003.rpt","_ExportedFromSAP","30","JE ENCONFUND (พลังงานจังหวัด)","JDT20003","JDT2","Project","60416"
"25","C","JE EnconFund_JDT20002.rpt","_ExportedFromSAP","30","JE EnconFund","JDT20002","JDT2","Project","61440"
"26","C","Report1_MTH10002.rpt","_ExportedFromSAP","","Report1","MTH10002","MTH1","SLD01","1596416"
"27","C","AP Invoice Enconfund.rpt","_ExportedFromSAP","","AP Invoice Enconfund","PCH10004","PCH1","Project","1576960"
"28","C","AP Invoice Enconfund_PCH20004.rpt","_ExportedFromSAP","18","AP Invoice Enconfund","PCH20004","PCH2","Project","1596928"
"29","C","Good Rec.rpt","_ExportedFromSAP","20","Good Rec","PDN20002","PDN2","SLD05","72192"
"30","C","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (บริหาร).rpt","_ExportedFromSAP","","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (บริหาร)","PWZ60004","PWZ6","Project","64512"
"31","C","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (โครงการ).rpt","_ExportedFromSAP","","ทะเบียนคุมผลการโอนเงินผ่านระบบ KTB (โครงการ)","PWZ60002","PWZ6","Project","57856"
"32","C","Barcode Fixed Asset.rpt","_ExportedFromSAP","","Barcode Fixed Asset","RCRI0047","RCRI","manager","76288"
"33","C","ตารางสรุปรายการสินทรัพย์.rpt","_ExportedFromSAP","","ตารางสรุปรายการสินทรัพย์","RCRI0018","RCRI","manager","75264"
"34","C","ทะเบียนคุมการเบิกจ่ายเงินโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมการเบิกจ่ายเงินโครงการ","RCRI0016","RCRI","Project","192000"
"35","C","ทะเบียนคุมการเบิกจ่ายเงินโครงการ (พี่โม).rpt","_ExportedFromSAP","","ทะเบียนคุมการเบิกจ่ายเงินโครงการ (พี่โม)","RCRI0013","RCRI","Project","113152"
"36","C","ทะเบียนคุมการใช้จ่ายเงิน (สพจ.).rpt","_ExportedFromSAP","","ทะเบียนคุมการใช้จ่ายเงิน (สพจ.)","RCRI0025","RCRI","manager","238592"
"37","C","ทะเบียนคุมค่าจ้างที่ปรึกษา.rpt","_ExportedFromSAP","","ทะเบียนคุมค่าจ้างที่ปรึกษา","RCRI0044","RCRI","Project","203264"
"38","C","ทะเบียนคุมค่าจ้างเหมาบริการผู้เชี่ยวชาญ.rpt","_ExportedFromSAP","","ทะเบียนคุมค่าจ้างเหมาบริการผู้เชี่ยวชาญ","RCRI0043","RCRI","manager","210944"
"39","C","ทะเบียนคุมค่าใช้จ่ายแผนงานโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมค่าใช้จ่ายแผนงานโครงการ","RCRI0014","RCRI","manager","319488"
"40","C","ทะเบียนคุมจ้างเหมาบริการ.rpt","_ExportedFromSAP","","ทะเบียนคุมจ้างเหมาบริการ","RCRI0017","RCRI","Project","210944"
"41","C","ทะเบียนคุมภาระผูกพัน (จ้างเหมา).rpt","_ExportedFromSAP","","ทะเบียนคุมภาระผูกพัน (จ้างเหมา)","RCRI0045","RCRI","manager","128512"
"42","C","ทะเบียนคุมภาระผูกพัน (ที่ปรึกษา).rpt","_ExportedFromSAP","","ทะเบียนคุมภาระผูกพัน (ที่ปรึกษา)","RCRI0048","RCRI","manager","128512"
"43","C","ทะเบียนคุมภาระผูกพัน (ผู้เชี่ยวชาญ).rpt","_ExportedFromSAP","","ทะเบียนคุมภาระผูกพัน (ผู้เชี่ยวชาญ)","RCRI0049","RCRI","manager","128512"
"44","C","ทะเบียนคุมรับคืนเงินโครงการ.rpt","_ExportedFromSAP","","ทะเบียนคุมรับคืนเงินโครงการ","RCRI0036","RCRI","Project","103936"
"45","C","ทะเบียนคุมรายได้ค้างรับ.rpt","_ExportedFromSAP","","ทะเบียนคุมรายได้ค้างรับ","RCRI0035","RCRI","manager","306688"
"46","C","ทะเบียนคุมลูกหนี้เงินยืม.rpt","_ExportedFromSAP","","ทะเบียนคุมลูกหนี้เงินยืม","RCRI0028","RCRI","manager","140288"
"47","C","ทะเบียนคุมสัญญา.rpt","_ExportedFromSAP","","ทะเบียนคุมสัญญา","RCRI0022","RCRI","manager","891904"
